type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.065,0.5,0.1,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.1_bmspos_final_1.25L.txt,0.253837,153,8.290958
cmine,0.065,0.5,0.2,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.2_bmspos_final_1.25L.txt,0.254805,223,12.7565
cmine,0.065,0.5,0.3,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.3_bmspos_final_1.25L.txt,0.253959,437,29.161767
cmine,0.065,0.5,0.4,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.4_bmspos_final_1.25L.txt,0.317138,1179,91.85437
cmine,0.065,0.5,0.5,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.5_bmspos_final_1.25L.txt,0.316855,3010,223.877941
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.25L.txt,0.312364,9022,776.226822
cmine,0.065,0.5,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.7_bmspos_final_1.25L.txt,0.256038,28769,2651.003132
cmine,0.065,0.5,0.8,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.8_bmspos_final_1.25L.txt,0.261017,80620,8375.351278
cmine,0.065,0.5,0.9,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.9_bmspos_final_1.25L.txt,0.296769,163749,27733.27955
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.05L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.05L.txt,0.221091,13574,941.613459
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.1L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.1L.txt,0.284174,17784,1435.524753
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.15L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.15L.txt,0.256246,27761,2383.172672
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.2L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.2L.txt,0.252603,8685,702.46235
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.25L.txt,0.316744,9022,752.562934
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.3L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.3L.txt,0.274195,12466,1107.849579
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.35L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.35L.txt,0.282696,6596,589.859564
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.4L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.4L.txt,0.360562,6545,606.939477
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.45L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.45L.txt,0.364932,6636,632.036584
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.5L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.5L.txt,0.376621,6685,663.068891
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.55L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.55L.txt,0.319487,6772,688.620693
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.6L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.6L.txt,0.339571,6494,701.863526
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.65L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.65L.txt,0.341632,6690,755.132532
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.7L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.7L.txt,0.428684,6818,797.059737
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.75L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.75L.txt,0.359906,6935,716.425021
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.8L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.8L.txt,0.3903,6958,869.58883
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.85L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.85L.txt,0.381026,7158,856.020607
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.9L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.9L.txt,0.470298,7188,900.348204
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.95L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.95L.txt,0.490315,7091,929.052841
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_2.0L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_2.0L.txt,0.499434,7078,965.682
